Date,2019,2020,2021,2022
2022-01-01,2345103.0,2178656.0,1192881.0,1616316.0
2022-01-02,2202111.0,2422272.0,1327289.0,2023309.0
2022-01-03,2150571.0,2210542.0,1080346.0,1916499.0
2022-01-04,1975947.0,1806480.0,766594.0,1666715.0
2022-01-05,2229391.0,1815040.0,665855.0,1493235.0
2022-01-06,2044043.0,2034472.0,771734.0,1533544.0
2022-01-07,1733739.0,2072543.0,772471.0,1502714.0
2022-01-08,1739642.0,1687974.0,709444.0,1449698.0
2022-01-09,1955200.0,2183734.0,886536.0,1693518.0
2022-01-10,1959788.0,1992453.0,708177.0,1449550.0
2022-01-11,1604862.0,1691205.0,520117.0,1125952.0
2022-01-12,1970450.0,1876782.0,567401.0,1231419.0
2022-01-13,1886642.0,2242656.0,803688.0,1541835.0
2022-01-14,1605758.0,2347075.0,903039.0,1728383.0
2022-01-15,1786012.0,1781893.0,690438.0,1403734.0
2022-01-16,2139242.0,2000260.0,810654.0,1379403.0
2022-01-17,2271398.0,2298616.0,878048.0,1699242.0
2022-01-18,1600698.0,1870459.0,560190.0,1301462.0
2022-01-19,1776235.0,1801444.0,542338.0,1201583.0
2022-01-20,2179066.0,2100401.0,728978.0,1471161.0
2022-01-21,1804629.0,2145063.0,755028.0,1514369.0
2022-01-22,1763884.0,1645196.0,603527.0,1241792.0
2022-01-23,1991328.0,2136584.0,838116.0,1648529.0
2022-01-24,2052814.0,2004609.0,701709.0,1397281.0
2022-01-25,1571077.0,1643435.0,468933.0,1059741.0
2022-01-26,2010374.0,1777171.0,536935.0,1198339.0
2022-01-27,1862420.0,2085468.0,750558.0,1555773.0
2022-01-28,1534386.0,2159047.0,774688.0,1632406.0
2022-01-29,1593697.0,1658886.0,617489.0,1070691.0
2022-01-30,1938817.0,1948138.0,859039.0,1714280.0
2022-01-31,2078169.0,2054725.0,628989.0,1537573.0
2022-02-01,1591591.0,1677798.0,493338.0,1200580.0
2022-02-02,1792677.0,1843877.0,618615.0,1192973.0
2022-02-03,2001482.0,2167857.0,778065.0,1339533.0
2022-02-04,1655868.0,2271551.0,868624.0,1577790.0
2022-02-05,1756152.0,1770241.0,705951.0,1399444.0
2022-02-06,2064640.0,2224826.0,854636.0,1785846.0
2022-02-07,2134744.0,2164951.0,864783.0,1591438.0
2022-02-08,1648328.0,1814047.0,617619.0,1232591.0
2022-02-09,2105696.0,2038375.0,735009.0,1386325.0
2022-02-10,2055827.0,2415185.0,1034514.0,1782705.0
2022-02-11,1620239.0,2507588.0,1151420.0,1914374.0
2022-02-12,1950385.0,1972248.0,900696.0,1534080.0
2022-02-13,2227730.0,2198657.0,946458.0,1815824.0
2022-02-14,1922613.0,2494922.0,967693.0,1731473.0
2022-02-15,2147045.0,2190300.0,738825.0,1479653.0
2022-02-16,2476445.0,2129862.0,773422.0,1656217.0
2022-02-17,2177690.0,2358511.0,914823.0,1977756.0
2022-02-18,2022861.0,2429489.0,1059452.0,2241123.0
2022-02-19,2351856.0,1951535.0,942238.0,1826392.0
2022-02-20,2415570.0,2380359.0,1115479.0,2067788.0
2022-02-21,2331841.0,2267382.0,963280.0,2215453.0
2022-02-22,2274217.0,1919803.0,714725.0,1780987.0
2022-02-23,2197938.0,2075554.0,802230.0,1752841.0
2022-02-24,2160322.0,2364727.0,1051149.0,1980803.0
2022-02-25,1861286.0,2441643.0,1096348.0,2098325.0
2022-02-26,2015079.0,1949696.0,917282.0,1840996.0
2022-02-27,2307393.0,2353150.0,1190682.0,2145281.0
2022-02-28,2257920.0,2089641.0,1049692.0,1979422.0
2022-03-01,1979558.0,1736393.0,744812.0,1635546.0
2022-03-02,2143619.0,1877401.0,826924.0,1738406.0
2022-03-03,2402692.0,2130015.0,1107534.0,2038115.0
2022-03-04,2543689.0,2198517.0,1168734.0,2132807.0
2022-03-05,2156262.0,1844811.0,992406.0,1830246.0
2022-03-06,2485430.0,2119867.0,1278557.0,2180940.0
2022-03-07,2378673.0,1909363.0,1119303.0,2017973.0
2022-03-08,2122898.0,1617220.0,825745.0,1644052.0
2022-03-09,2187298.0,1702686.0,974221.0,1844208.0
2022-03-10,2503924.0,1788456.0,1286894.0,2184044.0
2022-03-11,2634215.0,1714372.0,1409771.0,2297374.0
2022-03-12,2274658.0,1485553.0,1227484.0,1990954.0
2022-03-13,2545742.0,1519192.0,1345284.0,2288800.0
2022-03-14,2465709.0,1257823.0,1267345.0,2200172.0
2022-03-15,2177929.0,953699.0,1092548.0,1858773.0
2022-03-16,2320885.0,779631.0,1146539.0,1993734.0
2022-03-17,2513231.0,620883.0,1413141.0,2221946.0
2022-03-18,2559307.0,593167.0,1477841.0,2308212.0
2022-03-19,2227181.0,548132.0,1373259.0,2099056.0
2022-03-20,2542643.0,454516.0,1543136.0,2366751.0
2022-03-21,2434370.0,331431.0,1360290.0,2158280.0
2022-03-22,2151913.0,279018.0,1076453.0,1856872.0
2022-03-23,2273811.0,239234.0,1164954.0,1962056.0
2022-03-24,2487162.0,203858.0,1444744.0,2234353.0
2022-03-25,2538384.0,199644.0,1535156.0,2290587.0
2022-03-26,2172920.0,184027.0,1408198.0,2009500.0
2022-03-27,2510294.0,180002.0,1574228.0,2307110.0
2022-03-28,2360053.0,154080.0,1406234.0,2131678.0
2022-03-29,2026256.0,146348.0,1130520.0,1736292.0
2022-03-30,2151626.0,136023.0,1278113.0,1887350.0
2022-03-31,2411500.0,124021.0,1562239.0,2196867.0
2022-04-01,2476884.0,129763.0,1580785.0,2271659.0
2022-04-02,2011715.0,118302.0,1397958.0,1913117.0
2022-04-03,2462929.0,122029.0,1543474.0,2204115.0
2022-04-04,2384091.0,108310.0,1561959.0,2139084.0
2022-04-05,2091056.0,97130.0,1195306.0,1848862.0
2022-04-06,2229276.0,94931.0,1230939.0,1978691.0
2022-04-07,2487398.0,104090.0,1510829.0,2216218.0
2022-04-08,2590499.0,108977.0,1549181.0,2318977.0
2022-04-09,2059142.0,93645.0,1378237.0,1946502.0
2022-04-10,2446801.0,90510.0,1561495.0,2293548.0
2022-04-11,2484580.0,102184.0,1468972.0,2181446.0
2022-04-12,2208688.0,87534.0,1085034.0,1883294.0
2022-04-13,2317381.0,90784.0,1152703.0,2040285.0
2022-04-14,2616158.0,95085.0,1491435.0,2337501.0
2022-04-15,2457133.0,106385.0,1468218.0,2311092.0
2022-04-16,1988205.0,97236.0,1277815.0,1894331.0
2022-04-17,2356802.0,105382.0,1572383.0,2214519.0
2022-04-18,2594171.0,99344.0,1412500.0,2288902.0
2022-04-19,2227475.0,92859.0,1082443.0,1979882.0
2022-04-20,2254209.0,98968.0,1164099.0,2027836.0
2022-04-21,2526961.0,111627.0,1509649.0,2279905.0
2022-04-22,2521897.0,123464.0,1521393.0,2293242.0
2022-04-23,1990464.0,114459.0,1259724.0,1826772.0
2022-04-24,2506809.0,128875.0,1571220.0,2293427.0
2022-04-25,2412770.0,119854.0,1369410.0,2182717.0
2022-04-26,2102068.0,110913.0,1077199.0,1863020.0
2022-04-27,2256442.0,119629.0,1184326.0,1996601.0
2022-04-28,2499461.0,154695.0,1526681.0,2258077.0
2022-04-29,2546029.0,171563.0,1558553.0,2275133.0
2022-04-30,1968278.0,134261.0,1335535.0,1877559.0
2022-05-01,2512598.0,170254.0,1626962.0,2263646.0
2022-05-02,2470969.0,163692.0,1463672.0,2136427.0
2022-05-03,2106597.0,130601.0,1134103.0,1764745.0
2022-05-04,2270662.0,140409.0,1268938.0,1953128.0
2022-05-05,2555342.0,190863.0,1644050.0,2234701.0
2022-05-06,2602631.0,215444.0,1703267.0,2279258.0
2022-05-07,1985942.0,169580.0,1429657.0,1869222.0
2022-05-08,2419114.0,200815.0,1707805.0,2248861.0
2022-05-09,2512315.0,215645.0,1657722.0,2231804.0
2022-05-10,2191387.0,163205.0,1315493.0,1900738.0
2022-05-11,2343675.0,176667.0,1424664.0,
2022-05-12,2611324.0,234928.0,1743515.0,
2022-05-13,2664549.0,250467.0,1716561.0,
2022-05-14,2091116.0,193340.0,1453267.0,
2022-05-15,2620276.0,253807.0,1850531.0,
2022-05-16,2615691.0,244176.0,1734541.0,
2022-05-17,2312727.0,190477.0,1408017.0,
2022-05-18,2472123.0,230367.0,1496089.0,
2022-05-19,2673635.0,318449.0,1728496.0,
2022-05-20,2792670.0,348673.0,1820433.0,
2022-05-21,2124825.0,253190.0,1550044.0,
2022-05-22,2070716.0,267451.0,1863697.0,
2022-05-23,2512237.0,340769.0,1747353.0,
2022-05-24,2453649.0,264843.0,1470840.0,
2022-05-25,2269035.0,261170.0,1618169.0,
2022-05-26,2485770.0,321776.0,1854534.0,
2022-05-27,2570613.0,327133.0,1959593.0,
2022-05-28,2117180.0,268867.0,1605810.0,
2022-05-29,2555578.0,352947.0,1650454.0,
2022-05-30,2499002.0,353261.0,1900170.0,
2022-05-31,2247421.0,267742.0,1682752.0,
2022-06-01,2370152.0,304436.0,1587910.0,
2022-06-02,2623947.0,391882.0,1815931.0,
2022-06-03,2649808.0,419675.0,1879885.0,
2022-06-04,2225952.0,353016.0,1681192.0,
2022-06-05,2669860.0,441255.0,1984658.0,
2022-06-06,2644981.0,430414.0,1828396.0,
2022-06-07,2433189.0,338382.0,1560561.0,
2022-06-08,2509058.0,386969.0,1669537.0,
2022-06-09,2675686.0,502209.0,1975189.0,
2022-06-10,2727860.0,519304.0,2028961.0,
2022-06-11,2318946.0,437119.0,1812797.0,
2022-06-12,2642083.0,544046.0,2097433.0,
2022-06-13,2699580.0,534528.0,1800954.0,
2022-06-14,2466574.0,417924.0,1678688.0,
2022-06-15,2552395.0,441829.0,1792370.0,
2022-06-16,2728786.0,576514.0,2039425.0,
2022-06-17,2772903.0,587908.0,2081115.0,
2022-06-18,2378559.0,507129.0,1882381.0,
2022-06-19,2719643.0,590456.0,2100761.0,
2022-06-20,2716428.0,607540.0,2030577.0,
2022-06-21,2506510.0,471421.0,1795141.0,
2022-06-22,2594661.0,494826.0,1801329.0,
2022-06-23,2711222.0,623624.0,2085327.0,
2022-06-24,2730515.0,632984.0,2137584.0,
2022-06-25,2368846.0,546310.0,1918705.0,
2022-06-26,2632030.0,633810.0,2167380.0,
2022-06-27,2455536.0,625235.0,2066964.0,
2022-06-28,2347767.0,500054.0,1808306.0,
2022-06-29,2547889.0,626516.0,1920663.0,
2022-06-30,2088760.0,764761.0,2147090.0,
2022-07-01,2184253.0,718988.0,2196411.0,
2022-07-02,2345846.0,466669.0,1915017.0,
2022-07-03,2795369.0,732123.0,1681896.0,
2022-07-04,2748718.0,755555.0,2160147.0,
2022-07-05,2506859.0,641761.0,1889911.0,
2022-07-06,2515902.0,632498.0,1880160.0,
2022-07-07,2608209.0,709653.0,2027364.0,
2022-07-08,2716812.0,711124.0,2147903.0,
2022-07-09,2312178.0,656284.0,1987652.0,
2022-07-10,2669717.0,754545.0,2198635.0,
2022-07-11,2615115.0,697985.0,2093066.0,
2022-07-12,2447177.0,540268.0,1832878.0,
2022-07-13,2522563.0,589285.0,1900945.0,
2022-07-14,2716828.0,706164.0,2152053.0,
2022-07-15,2776960.0,720378.0,2199815.0,
2022-07-16,2396462.0,646654.0,1979981.0,
2022-07-17,2727355.0,747422.0,2227704.0,
2022-07-18,2635312.0,695330.0,2141429.0,
2022-07-19,2499460.0,530421.0,1871986.0,
2022-07-20,2561911.0,570951.0,1934918.0,
2022-07-21,2705399.0,704815.0,2101343.0,
2022-07-22,2732770.0,724770.0,2159300.0,
2022-07-23,2364925.0,649027.0,1942871.0,
2022-07-24,2700723.0,751205.0,2177129.0,
2022-07-25,2613346.0,700043.0,2124474.0,
2022-07-26,2438967.0,536756.0,1858328.0,
2022-07-27,2542365.0,573200.0,1923980.0,
2022-07-28,2742882.0,718310.0,2127634.0,
2022-07-29,2730936.0,767320.0,2198585.0,
2022-07-30,2367967.0,709033.0,2007412.0,
2022-07-31,2688640.0,799861.0,2238462.0,
2022-08-01,2619406.0,737235.0,2031758.0,
2022-08-02,2387115.0,543601.0,1797120.0,
2022-08-03,2430094.0,595739.0,1855299.0,
2022-08-04,2707986.0,743599.0,2063720.0,
2022-08-05,2725000.0,762547.0,2109091.0,
2022-08-06,2290340.0,683212.0,1925641.0,
2022-08-07,2647897.0,831789.0,2168264.0,
2022-08-08,2567986.0,761861.0,2022858.0,
2022-08-09,2306829.0,559420.0,1727075.0,
2022-08-10,2391906.0,590749.0,1761348.0,
2022-08-11,2602446.0,761821.0,2045301.0,
2022-08-12,2627564.0,783744.0,2065379.0,
2022-08-13,2171962.0,689895.0,1811767.0,
2022-08-14,2584444.0,862949.0,2114166.0,
2022-08-15,2576965.0,773319.0,1980585.0,
2022-08-16,2247446.0,565946.0,1607238.0,
2022-08-17,2306838.0,586718.0,1678231.0,
2022-08-18,2533184.0,772380.0,1945026.0,
2022-08-19,2559244.0,764468.0,1990608.0,
2022-08-20,2039233.0,625822.0,1685462.0,
2022-08-21,2493162.0,841806.0,1965020.0,
2022-08-22,2358007.0,726788.0,1820355.0,
2022-08-23,2015088.0,523186.0,1468219.0,
2022-08-24,2188688.0,540043.0,1539707.0,
2022-08-25,2561109.0,721060.0,1826310.0,
2022-08-26,2658558.0,738873.0,1853622.0,
2022-08-27,1954902.0,591734.0,1511294.0,
2022-08-28,1887845.0,807695.0,1900658.0,
2022-08-29,2278159.0,711178.0,1629475.0,
2022-08-30,2037750.0,516068.0,1345064.0,
2022-08-31,1889044.0,578131.0,1465197.0,
2022-09-01,2109858.0,877698.0,1896846.0,
2022-09-02,2198828.0,968673.0,2129999.0,
2022-09-03,1755502.0,664640.0,1545955.0,
2022-09-04,2370003.0,689630.0,1630786.0,
2022-09-05,2292985.0,935308.0,2025556.0,
2022-09-06,1943379.0,704075.0,1662932.0,
2022-09-07,2005867.0,616923.0,1439804.0,
2022-09-08,2449302.0,755051.0,1685668.0,
2022-09-09,2484025.0,731353.0,1792979.0,
2022-09-10,1879822.0,613703.0,1363653.0,
2022-09-11,2485134.0,809850.0,1966456.0,
2022-09-12,2405832.0,729558.0,1672895.0,
2022-09-13,2013050.0,522383.0,1271516.0,
2022-09-14,2146857.0,577847.0,1455913.0,
2022-09-15,2455410.0,784746.0,1851345.0,
2022-09-16,2571924.0,812214.0,1942337.0,
2022-09-17,1938402.0,638575.0,1476269.0,
2022-09-18,2517826.0,847968.0,2075468.0,
2022-09-19,2431388.0,769936.0,1820152.0,
2022-09-20,2033490.0,549741.0,1338166.0,
2022-09-21,2188236.0,608726.0,1460478.0,
2022-09-22,2510926.0,826316.0,1904732.0,
2022-09-23,2547611.0,826329.0,2019891.0,
2022-09-24,1966234.0,659350.0,1525438.0,
2022-09-25,2452596.0,873038.0,2102155.0,
2022-09-26,2368818.0,797699.0,1849171.0,
2022-09-27,1998980.0,568688.0,1334997.0,
2022-09-28,2082179.0,634046.0,1448369.0,
2022-09-29,2447687.0,855908.0,1934592.0,
2022-09-30,2526835.0,857186.0,2011794.0,
2022-10-01,1921185.0,677661.0,1534114.0,
2022-10-02,2542118.0,900911.0,2100167.0,
2022-10-03,2400153.0,816838.0,1842054.0,
2022-10-04,2035628.0,590766.0,1390201.0,
2022-10-05,2215233.0,668519.0,1563565.0,
2022-10-06,2605291.0,936915.0,2063090.0,
2022-10-07,2688032.0,968545.0,2169783.0,
2022-10-08,2074718.0,769868.0,1645563.0,
2022-10-09,2555333.0,984234.0,2086146.0,
2022-10-10,2616771.0,958440.0,2083627.0,
2022-10-11,2313632.0,680894.0,1695970.0,
2022-10-12,2317763.0,717940.0,1641419.0,
2022-10-13,2581007.0,950024.0,2048398.0,
2022-10-14,2637667.0,973046.0,2070878.0,
2022-10-15,2049855.0,788743.0,1704466.0,
2022-10-16,2606266.0,1031505.0,2213296.0,
2022-10-17,2514673.0,921031.0,2001297.0,
2022-10-18,2126637.0,662484.0,1446353.0,
2022-10-19,2245199.0,694150.0,1647089.0,
2022-10-20,2541581.0,934386.0,2046694.0,
2022-10-21,2594337.0,958437.0,2108582.0,
2022-10-22,1931971.0,755287.0,1626185.0,
2022-10-23,2478287.0,983745.0,2107839.0,
2022-10-24,2347017.0,898735.0,1989373.0,
2022-10-25,1910506.0,648517.0,1503587.0,
2022-10-26,2066516.0,666957.0,1547075.0,
2022-10-27,2047910.0,873636.0,1927041.0,
2022-10-28,2319906.0,892712.0,1982773.0,
2022-10-29,1836781.0,618476.0,1518020.0,
2022-10-30,2459525.0,936092.0,1845965.0,
2022-10-31,2403304.0,846138.0,1992577.0,
2022-11-01,2005101.0,575829.0,1487874.0,
2022-11-02,2147882.0,636533.0,1525948.0,
2022-11-03,2507365.0,867105.0,1940302.0,
2022-11-04,2544350.0,895091.0,2035406.0,
2022-11-05,1908805.0,689951.0,1527465.0,
2022-11-06,2356349.0,973020.0,2152721.0,
2022-11-07,2465392.0,836600.0,1955530.0,
2022-11-08,2150003.0,596475.0,1456657.0,
2022-11-09,2072207.0,674633.0,1691526.0,
2022-11-10,2364920.0,866679.0,2064753.0,
2022-11-11,2437211.0,881579.0,2001439.0,
2022-11-12,1807230.0,697360.0,1559772.0,
2022-11-13,2396681.0,978297.0,2150150.0,
2022-11-14,2298856.0,883157.0,2010601.0,
2022-11-15,1900895.0,611497.0,1491890.0,
2022-11-16,2071631.0,703135.0,1624511.0,
2022-11-17,2428095.0,907332.0,2044545.0,
2022-11-18,2550459.0,1019836.0,2242956.0,
2022-11-19,2194291.0,984369.0,2004579.0,
2022-11-20,2321546.0,1047934.0,2213716.0,
2022-11-21,2254188.0,917354.0,2081064.0,
2022-11-22,2435170.0,912090.0,2207949.0,
2022-11-23,2624250.0,1070967.0,2311978.0,
2022-11-24,1591158.0,560902.0,1382230.0,
2022-11-25,1968137.0,820399.0,1778983.0,
2022-11-26,2648268.0,964630.0,2208192.0,
2022-11-27,2882915.0,1176091.0,2451300.0,
2022-11-28,2591470.0,981912.0,2237087.0,
2022-11-29,2280403.0,780283.0,1810460.0,
2022-11-30,2054380.0,632356.0,1660506.0,
2022-12-01,2262878.0,738050.0,1866275.0,
2022-12-02,2278205.0,753951.0,1952294.0,
2022-12-03,1755801.0,629430.0,1566729.0,
2022-12-04,2292079.0,837137.0,2068792.0,
2022-12-05,2226290.0,703546.0,1854048.0,
2022-12-06,1897051.0,501513.0,1459054.0,
2022-12-07,2020488.0,564372.0,1610785.0,
2022-12-08,2362310.0,754307.0,1959937.0,
2022-12-09,2388029.0,787489.0,2045674.0,
2022-12-10,1893871.0,662380.0,1669737.0,
2022-12-11,2300248.0,865014.0,2040364.0,
2022-12-12,2250386.0,752451.0,1912915.0,
2022-12-13,2009112.0,552024.0,1520251.0,
2022-12-14,2234374.0,641966.0,1762920.0,
2022-12-15,2471408.0,846934.0,2062579.0,
2022-12-16,2608088.0,1066747.0,2233754.0,
2022-12-17,2487987.0,1073563.0,2035273.0,
2022-12-18,2519399.0,1064619.0,2118528.0,
2022-12-19,2490503.0,954782.0,2098540.0,
2022-12-20,1981433.0,992167.0,1979089.0,
2022-12-21,1937235.0,1191123.0,2081297.0,
2022-12-22,2552194.0,846520.0,2187792.0,
2022-12-23,2582580.0,616469.0,1709601.0,
2022-12-24,2470786.0,1128773.0,1533398.0,
2022-12-25,2575985.0,1284599.0,2070554.0,
2022-12-26,2500396.0,1111751.0,2089186.0,
2022-12-27,2009880.0,1019347.0,1995747.0,
2022-12-28,2133253.0,1163696.0,2017937.0,
2022-12-29,2392331.0,874406.0,2049604.0,
2022-12-30,2311732.0,805990.0,1650795.0,
2022-12-31,2178656.0,1192881.0,1616316.0,
